Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
38990,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Assembly_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Assembly atom ID,INTEGER,,,AngularOrderParam,AssemblyAtomID,N,N,,,,Atom,Assembly_atom_ID,,,,Y,20,,,,,,0,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Atom.Entry_atom_ID,O,I,O,I,O,I,O,V,O,O,O,O,?,0,Angular_order_param,Assembly_atom_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Atom.Assembly_atom_ID',,N,?,?,Angular order param,?,n/a,Pointer to '_Atom.Assembly_atom_ID',Angular order param,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?
39000,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Entity_assembly_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID,INTEGER,NOT NULL,,AngularOrderParam,EntityAssemblyID,N,N,,,,Entity_assembly,ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Angular_order_param,Entity_assembly_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_assembly.ID',,N,?,?,Angular order param,?,n/a,Pointer to '_Entity_assembly.ID',Angular order param,?,n/a,Pointer to '_Entity_assembly.ID',?,?
39010,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Entity_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID,INTEGER,NOT NULL,,AngularOrderParam,EntityID,N,N,,,,Entity,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Angular_order_param,Entity_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity.ID',,N,?,?,Angular order param,?,n/a,Pointer to '_Entity.ID',Angular order param,?,n/a,Pointer to '_Entity.ID',?,?
39020,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Comp_index_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID,INTEGER,NOT NULL,,AngularOrderParam,CompIndexID,N,N,,,,Entity_comp_index,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Angular_order_param,Comp_index_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_comp_index.ID',,N,?,?,Angular order param,?,n/a,Pointer to '_Entity_comp_index.ID',Angular order param,?,n/a,Pointer to '_Entity_comp_index.ID',?,?
39030,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,AngularOrderParam,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,60,,,,,,0,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?,Y,Y,N,N,N,N,_PDBX_poly_seq_scheme.Seq_ID,?,_Entity_poly_seq.Num,O,I,O,I,O,I,V,V,V,V,V,V,?,0,Angular_order_param,Seq_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_poly_seq.Num',,N,?,?,Angular order param,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',Angular order param,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?
39040,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID,CHAR(12),NOT NULL,,AngularOrderParam,CompID,N,N,,,,Chem_comp,ID,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Angular_order_param,Comp_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Chem_comp.ID',,N,?,?,Angular order param,?,n/a,Pointer to '_Chem_comp.ID',Angular order param,?,n/a,Pointer to '_Chem_comp.ID',?,?
39050,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Phi_S_angle_val,,X,,,,N,H,H,H,H,H,N,,,,,,Phi S angle val,FLOAT,,,AngularOrderParam,PhiSAngleVal,N,N,,,,,,,,,Y,80,,,,,,0,?,n/a,Order parameter value for the phi torsion angle in a protein.,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Phi_S_angle_val,?,?,?,?,N,N,float,,?,?,?,Order parameter value for the phi torsion angle in a protein.,,N,?,?,Angular order param,?,n/a,Order parameter value for the phi torsion angle in a protein.,Angular order param,?,n/a,Order parameter value for the phi torsion angle in a protein.,?,?
39060,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Psi_S_angle_val,,X,,,,N,H,H,H,H,H,N,,,,,,Psi S angle val,FLOAT,,,AngularOrderParam,PsiSAngleVal,N,N,,,,,,,,,Y,90,,,,,,0,?,n/a,Order parameter value for the psi torsion angle in a protein.,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Psi_S_angle_val,?,?,?,?,N,N,float,,?,?,?,Order parameter value for the psi torsion angle in a protein.,,N,?,?,Angular order param,?,n/a,Order parameter value for the psi torsion angle in a protein.,Angular order param,?,n/a,Order parameter value for the psi torsion angle in a protein.,?,?
39070,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Chi_1_S_angle_val,,X,,,,N,H,H,H,H,H,N,,,,,,Chi 1 S angle val,FLOAT,,,AngularOrderParam,Chi1SAngleVal,N,N,,,,,,,,,Y,100,,,,,,0,?,n/a,Order parameter value for the chi1 torsion angle in a protein.,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Chi_1_S_angle_val,?,?,?,?,N,N,float,,?,?,?,Order parameter value for the chi1 torsion angle in a protein.,,N,?,?,Angular order param,?,n/a,Order parameter value for the chi1 torsion angle in a protein.,Angular order param,?,n/a,Order parameter value for the chi1 torsion angle in a protein.,?,?
39080,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Chi_2_S_angle_val,,X,,,,N,H,H,H,H,H,N,,,,,,Chi 2 S angle val,FLOAT,,,AngularOrderParam,Chi2SAngleVal,N,N,,,,,,,,,Y,110,,,,,,0,?,n/a,Order parameter value for the chi2 torsion angle in a protein.,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Chi_2_S_angle_val,?,?,?,?,N,N,float,,?,?,?,Order parameter value for the chi2 torsion angle in a protein.,,N,?,?,Angular order param,?,n/a,Order parameter value for the chi2 torsion angle in a protein.,Angular order param,?,n/a,Order parameter value for the chi2 torsion angle in a protein.,?,?
39090,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Auth_entity_assembly_ID,,,,,,N,H,H,H,H,H,N,,,,,,Auth entity assembly ID,INTEGER,,,AngularOrderParam,AuthEntityAssemblyID,N,N,,,,,,,,,Y,120,,,,,,0,2,n/a,?,?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Auth_entity_assembly_ID,,,,,,,int,,?,?,?,?,,N,?,?,?,?,n/a,?,?,?,n/a,?,?,?
39100,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Auth_seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth seq ID,VARCHAR(15),,,AngularOrderParam,AuthSeqID,N,N,,,,,,,,,Y,130,,,,,,0,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_seq_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Auth_seq_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,,N,?,?,Angular order param,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,Angular order param,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?
39110,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Auth_comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth comp ID,VARCHAR(15),,,AngularOrderParam,AuthCompID,N,N,,,,,,,,,Y,140,,,,,,0,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_comp_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Auth_comp_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Angular order param,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Angular order param,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
39120,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Auth_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth atom ID,VARCHAR(15),,,AngularOrderParam,AuthAtomID,N,N,,,,,,,,,Y,150,,,,,,0,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Angular_order_param,Auth_atom_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Angular order param,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Angular order param,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
39130,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,AngularOrderParam,SfID,N,Y,,,,Angular_order_parameter_list,Sf_ID,,,,Y,160,,,,,,4,?,n/a,Pointer to '_Angular_order_parameter_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Angular_order_parameter_list.Sf_ID,?,_Angular_order_parameter_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Angular_order_param,Sf_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Angular_order_parameter_list.Sf_ID',,N,?,?,Angular order param,?,n/a,Pointer to '_Angular_order_parameter_list.Sf_ID',Angular order param,?,n/a,Pointer to '_Angular_order_parameter_list.Sf_ID',?,?
39140,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AngularOrderParam,EntryID,N,N,,Y,,Entry,ID,,,,Y,170,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Angular_order_param,Entry_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Angular order param,?,n/a,Pointer to '_Entry.ID',Angular order param,?,n/a,Pointer to '_Entry.ID',?,?
39150,angular_order_parameters,N,T6,8,structure,630,Angular order param,_Angular_order_param.Angular_order_parameter_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Angular order parameter list ID,INTEGER,NOT NULL,,AngularOrderParam,AngularOrderParameterListID,N,N,,Y,,Angular_order_parameter_list,ID,,,,Y,180,,,,,,5,?,n/a,Pointer to '_Angular_order_parameter_list.ID',?,?,Y,Y,N,N,N,N,_Angular_order_parameter_list.ID,?,_Angular_order_parameter_list.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Angular_order_param,Angular_order_parameter_list_ID,Y,?,?,?,N,N,int,,?,?,?,Pointer to '_Angular_order_parameter_list.ID',,N,?,Y,Angular order param,?,n/a,Pointer to '_Angular_order_parameter_list.ID',Angular order param,?,n/a,Pointer to '_Angular_order_parameter_list.ID',?,?
39160,tertiary_struct_elements,N,R,8,structure,640,Tertiary struct element list,_Tertiary_struct_element_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,TertiaryStructElementList,SfCategory,N,N,,,,,,,,,N,10500,,,,,,1,?,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct_element_list,Sf_category,?,?,?,?,Y,N,code,,?,?,?,Category definition for the information content of the saveframe,,N,?,?,Tertiary struct element list,?,n/a,Category definition for the information content of the saveframe,Tertiary struct element list,?,n/a,Category definition for the information content of the saveframe,?,?
39170,tertiary_struct_elements,N,R,8,structure,640,Tertiary struct element list,_Tertiary_struct_element_list.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,TertiaryStructElementList,SfFramecode,N,N,,,,,,,,,N,10510,,,,,,2,?,Label for the set of tertiary structure elements deduced from the atomic coordinates,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,Y,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Tertiary_struct_element_list,Sf_framecode,?,?,?,?,Y,N,framecode,,?,?,?,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,,N,?,?,Tertiary struct element list,?,Label for the set of tertiary structure elements deduced from the atomic coordinates,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,Tertiary struct element list,?,Label for the set of tertiary structure elements deduced from the atomic coordinates,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?
39180,tertiary_struct_elements,N,R,8,structure,640,Tertiary struct element list,_Tertiary_struct_element_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,TertiaryStructElementList,EntryID,N,N,,Y,,Entry,ID,,,,N,10520,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct_element_list,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Tertiary struct element list,?,n/a,Pointer to '_Entry.ID',Tertiary struct element list,?,n/a,Pointer to '_Entry.ID',?,?
39190,tertiary_struct_elements,N,R,8,structure,640,Tertiary struct element list,_Tertiary_struct_element_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,TertiaryStructElementList,SfID,N,Y,Y,,,,,,,,N,10530,,,,,,4,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Tertiary_struct_element_list,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,?,?,Tertiary struct element list,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,Tertiary struct element list,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?
39200,tertiary_struct_elements,N,R,8,structure,640,Tertiary struct element list,_Tertiary_struct_element_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,TertiaryStructElementList,TertiaryStructElementListID,N,N,Y,Y,,,,,,,N,10540,,,,,,5,10,Tertiary struct elements list ID,Unique identifier for the list of reported tertiary structure elements.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct_element_list,ID,Y,?,?,?,Y,N,int,,?,?,?,Unique identifier for the list of reported tertiary structure elements.,,N,?,Y,Tertiary struct element list,10,Tertiary struct elements list ID,Unique identifier for the list of reported tertiary structure elements.,Tertiary struct element list,10,Tertiary struct elements list ID,Unique identifier for the list of reported tertiary structure elements.,?,?
39210,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct element sel meth,_Tertiary_struct_element_sel.Method_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Method ID,INTEGER,NOT NULL,,TertiaryStructElementSel,MethodID,N,N,,Y,,Method,ID,,,,Y,10,,,,,,7,10,Selection method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Tertiary_struct_element_sel,Method_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Method.ID',,N,?,?,Tertiary struct element sel meth,10,Selection method ID,Pointer to '_Method.ID',Tertiary struct element sel meth,10,Selection method ID,Pointer to '_Method.ID',?,?
39220,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct element sel meth,_Tertiary_struct_element_sel.Method,,MC,,,,Y,H,H,H,H,H,N,,,,,,Method,VARCHAR(127),,,TertiaryStructElementSel,Method,N,N,,,,,,,,,Y,20,,,,,,0,author defined,Method used to identify and define this structure element,Name of the method used to select the chemical components of the system that make up the tertiary structural element.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Tertiary_struct_element_sel,Method,?,?,?,?,Y,N,label,,?,?,?,Name of the method used to select the chemical components of the system that make up the tertiary structural element.,,N,?,?,Tertiary struct element sel meth,author defined,Method used to identify and define this structure element,Name of the method used to select the chemical components of the system that make up the tertiary structural element.,Tertiary struct element sel meth,author defined,Method used to identify and define this structure element,Name of the method used to select the chemical components of the system that make up the tertiary structural element.,?,?
39230,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct element sel meth,_Tertiary_struct_element_sel.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,TertiaryStructElementSel,SfID,N,Y,,,,Tertiary_struct_element_list,Sf_ID,,,,Y,30,,,,,,4,?,n/a,Pointer to '_Tertiary_struct_element_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Tertiary_struct_element_list.Sf_ID,?,_Tertiary_struct_element_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Tertiary_struct_element_sel,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Tertiary_struct_element_list.Sf_ID',,N,?,?,Tertiary struct element sel meth,?,n/a,Pointer to '_Tertiary_struct_element_list.Sf_ID',Tertiary struct element sel meth,?,n/a,Pointer to '_Tertiary_struct_element_list.Sf_ID',?,?
39240,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct element sel meth,_Tertiary_struct_element_sel.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,TertiaryStructElementSel,EntryID,N,N,,Y,,Entry,ID,,,,Y,40,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Tertiary_struct_element_sel,Entry_ID,?,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Tertiary struct element sel meth,?,n/a,Pointer to '_Entry.ID',Tertiary struct element sel meth,?,n/a,Pointer to '_Entry.ID',?,?
39250,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct element sel meth,_Tertiary_struct_element_sel.Tertiary_struct_element_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Tertiary struct element list ID,INTEGER,NOT NULL,,TertiaryStructElementSel,TertiaryStructElementListID,N,N,,Y,,Tertiary_struct_element_list,ID,,,,Y,50,,,,,,5,1,n/a,Pointer to '_Tertiary_struct_element_list.ID',?,?,Y,Y,N,N,N,N,_Tertiary_struct_element_list.ID,?,_Tertiary_struct_element_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Tertiary_struct_element_sel,Tertiary_struct_element_list_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Tertiary_struct_element_list.ID',,N,?,Y,Tertiary struct element sel meth,1,n/a,Pointer to '_Tertiary_struct_element_list.ID',Tertiary struct element sel meth,1,n/a,Pointer to '_Tertiary_struct_element_list.ID',?,?
39260,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.ID,,X,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,TertiaryStruct,TertiaryStructID,Y,N,,Y,,,,,,,Y,10,,,,,,6,8,n/a,Unique identifier for the reported tertiary structure element.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,ID,Y,?,?,?,N,N,int,,?,?,?,Unique identifier for the reported tertiary structure element.,,N,?,?,Tertiary struct,8,n/a,Unique identifier for the reported tertiary structure element.,Tertiary struct,8,n/a,Unique identifier for the reported tertiary structure element.,?,?
39270,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Tertiary_struct_code,,X,,,,Y,H,H,H,H,H,N,,,,,,Tertiary struct code,VARCHAR(15),,,TertiaryStruct,TertiaryStructCode,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,A word or very brief phrase that defines a specific type of local region of a biopolymer's tertiary structure.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Tertiary_struct,Tertiary_struct_code,?,?,?,?,N,N,code,,?,?,?,A word or very brief phrase that defines a specific type of local region of a biopolymer's tertiary structure.,,N,?,?,Tertiary struct,?,n/a,A word or very brief phrase that defines a specific type of local region of a biopolymer's tertiary structure.,Tertiary struct,?,n/a,A word or very brief phrase that defines a specific type of local region of a biopolymer's tertiary structure.,?,?
39280,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Tertiary_struct_name,,X,,,,Y,H,H,H,H,H,N,,,,,,Tertiary struct name,VARCHAR(127),NOT NULL,,TertiaryStruct,TertiaryStructName,N,N,,,,,,,,,Y,30,,,,,,0,NADP binding site,n/a,An author defined name for the tertiary structure element.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Tertiary_struct,Tertiary_struct_name,?,?,?,?,N,N,line,,?,?,?,An author defined name for the tertiary structure element.,,N,?,?,Tertiary struct,NADP binding site,n/a,An author defined name for the tertiary structure element.,Tertiary struct,NADP binding site,n/a,An author defined name for the tertiary structure element.,?,?
39290,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Assembly_atom_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Assembly atom ID,INTEGER,,,TertiaryStruct,AssemblyAtomID,N,N,,,,Atom,Assembly_atom_ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Tertiary_struct,Assembly_atom_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Atom.Assembly_atom_ID',,N,?,?,Tertiary struct,?,n/a,Pointer to '_Atom.Assembly_atom_ID',Tertiary struct,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?
39300,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Entity_assembly_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entity assembly ID,INTEGER,NOT NULL,,TertiaryStruct,EntityAssemblyID,N,N,,Y,,Entity_assembly,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Entity_assembly_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_assembly.ID',,N,?,?,Tertiary struct,?,n/a,Pointer to '_Entity_assembly.ID',Tertiary struct,?,n/a,Pointer to '_Entity_assembly.ID',?,?
39310,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Entity_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entity ID,INTEGER,NOT NULL,,TertiaryStruct,EntityID,N,N,,,,Entity,ID,,,,Y,60,,,,,,7,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Entity_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity.ID',,N,?,?,Tertiary struct,?,n/a,Pointer to '_Entity.ID',Tertiary struct,?,n/a,Pointer to '_Entity.ID',?,?
