Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,internal,sg/public,sg/internal,usr/public,Overide publiM,Overide internal,Overide meta,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type
22460,secondary_struct_features,N,T6,8,structure,550,NMR experiments and samples,_Secondary_struct_experiment.Secondary_struct_feature_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Secondary struct feature list ID,CHAR(12),NOT NULL,,SecondaryStructExperiment,SecondaryStructFeatureListID,N,N,,,,Secondary_struct_feature_list,ID,,,,Y,80,,,,,,5,?,Sf ID,Pointer to '_Secondary_struct_feature_list.ID',?,?,Y,Y,N,N,N,N,_Secondary_struct_feature_list.ID,?,_Secondary_struct_feature_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_experiment,Secondary_struct_feature_list_ID,Y,?,?,?,Y,N,int
22470,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.ID,,X,,,,N,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,SecondaryStructFeature,SecondaryStructFeatureID,Y,N,,Y,,,,,,,Y,10,,,,,,6,?,n/a,Unique identifier for the reported secondary structure feature.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,ID,Y,?,?,?,N,N,code
22480,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Entry_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID,CHAR(12),,,SecondaryStructFeature,EntryAtomID,N,N,,,,Atom,Entry_atom_ID,,,,Y,20,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct_feature,Entry_atom_ID,?,?,?,?,N,N,code
22490,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Entity_assembly_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID,CHAR(12),NOT NULL,,SecondaryStructFeature,EntityAssemblyID,N,N,,,,Entity_assembly,ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Entity_assembly_ID,?,?,?,?,N,N,name
22500,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Entity_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID,CHAR(12),NOT NULL,,SecondaryStructFeature,EntityID,N,N,,,,Entity,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Entity_ID,?,?,?,?,N,N,line
22510,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Comp_index_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID,CHAR(12),NOT NULL,,SecondaryStructFeature,CompIndexID,N,N,,,,Entity_comp_index,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Comp_index_ID,?,?,?,?,N,N,code
22520,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,SecondaryStructFeature,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Seq_ID,?,?,?,?,N,N,int
22530,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID,CHAR(12),NOT NULL,,SecondaryStructFeature,CompID,N,N,,,,Chem_comp,ID,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Comp_ID,?,?,?,?,N,N,code
22540,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID,CHAR(12),,,SecondaryStructFeature,AtomID,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct_feature,Atom_ID,?,?,?,?,N,N,text
22550,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Atom_type,,X,,,,N,H,Y,Y,Y,Y,N,,,,,,Atom type,VARCHAR(15),,,SecondaryStructFeature,AtomType,N,N,,,,,,,,,Y,90,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct_feature,Atom_type,?,?,?,?,N,N,code
22560,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Chem_comp_struct_val,,X,,,,N,H,H,H,H,H,N,,,,,,Chem comp struct val,FLOAT,NOT NULL,,SecondaryStructFeature,ChemCompStructVal,N,N,,,,,,,,,Y,100,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Chem_comp_struct_val,?,?,?,?,N,N,line
22570,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Chem_comp_struct_element_type,,X,,,,N,H,H,H,H,H,N,,,,,,Chem comp struct element type,VARCHAR(15),NOT NULL,,SecondaryStructFeature,ChemCompStructElementType,N,N,,,,,,,,,Y,110,,,,,,0,?,n/a,Enter a name for this secondary structure element,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Chem_comp_struct_element_type,?,?,?,?,N,N,float
22580,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SecondaryStructFeature,SfID,N,Y,,Y,,Secondary_struct_feature_list,Sf_ID,,,,Y,120,,,,,,4,?,n/a,Pointer to '_Secondary_struct_feature_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Secondary_struct_feature_list.Sf_ID,?,_Secondary_struct_feature_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Secondary_struct_feature,Sf_ID,?,?,?,?,N,N,name
22590,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SecondaryStructFeature,EntryID,N,N,,,,Entry,ID,,,,Y,130,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Entry_ID,?,?,?,?,N,N,line
22600,secondary_struct_features,N,T6,8,structure,550,Secondary struct feature,_Secondary_struct_feature.Secondary_struct_feature_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Secondary struct feature list ID,CHAR(12),NOT NULL,,SecondaryStructFeature,SecondaryStructFeatureListID,N,N,,,,Secondary_struct_feature_list,ID,,,,Y,140,,,,,,5,?,n/a,Pointer to '_Secondary_struct_feature_list.ID',?,?,Y,Y,N,N,N,N,_Secondary_struct_feature_list.ID,?,_Secondary_struct_feature_list.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Secondary_struct_feature,Secondary_struct_feature_list_ID,Y,?,?,?,N,N,name
22610,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,DeducedHBondList,SfCategory,N,N,,Y,,,,,,,N,6580,,,,,,1,?,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_list,Sf_category,?,?,?,?,Y,N,text
22620,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,DeducedHBondList,SfFramecode,N,N,,,,,,,,,N,6590,,,,,,2,?,Label for list of deduced hydrogen bonds,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,Y,N,N,N,?,?,?,R,R,R,I,I,I,I,I,I,I,I,I,?,0,Deduced_H_bond_list,Sf_framecode,?,?,?,?,Y,N,code
22630,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,DeducedHBondList,EntryID,N,N,,,,Entry,ID,,,,N,6600,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_list,Entry_ID,Y,?,?,?,Y,N,line
22640,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,DeducedHBondList,SfID,N,Y,Y,Y,,,,,,,N,6610,,,,,,4,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Deduced_H_bond_list,Sf_ID,?,?,?,?,Y,N,code
22650,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,DeducedHBondList,DeducedHBondListID,N,N,Y,,,,,,,,N,6620,,,,,,5,?,n/a,Unique identifier for the list of reported hydrogen bonds deduced from experimental data.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_list,ID,Y,?,?,?,Y,N,line
22660,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Details,,O,,,,Y,H,H,H,H,H,N,,,,,,Details,TEXT,,,DeducedHBondList,Details,N,N,,,,,,,,,N,6630,,,,,,0,?,Details,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_list,Details,?,?,?,?,Y,N,int
22670,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Sample_condition_list_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample condition list ID,CHAR(12),NOT NULL,,DeducedHBondList,SampleConditionListID,N,N,,,,Sample_condition_list,ID,,,,N,6640,,,,,,7,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',?,?,Y,Y,N,N,N,N,_Sample_condition_list.ID,?,_Sample_condition_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_list,Sample_condition_list_ID,?,?,?,?,Y,N,code
22680,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Sample_condition_list_label,,X,,,,Y,H,Y,Y,Y,Y,N,,sample_conditions,_Sample_condition_list.Sf_framecode,,,Sample condition list label,VARCHAR(127),NOT NULL,,DeducedHBondList,SampleConditionListLabel,N,N,,,,,,,,,N,6650,,9,,,,0,?,Sample conditions label,?,?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_list,Sample_condition_list_label,?,?,?,?,Y,N,code
22690,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Data_file_name,,,,,,Y,Y,H,H,H,H,N,,Upload data,_Upload_data.Data_file_name,,,Data file name,VARCHAR(127),,,DeducedHBondList,DataFileName,N,N,,,,,,,,,N,6660,,19,,,,0,?,Deposited data file name,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,?,?,Y,Y,N,N,N,N,?,?,?,I,R,R,I,R,R,I,R,R,O,O,O,?,1,Deduced_H_bond_list,Data_file_name,?,?,?,?,Y,N,code
22700,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Text_data_format,,X,,,,N,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,DeducedHBondList,TextDataFormat,N,N,,,,,,,,,N,6670,,,,,,0,?,Text data format,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_list,Text_data_format,?,?,?,?,Y,N,line
22710,deduced_hydrogen_bonds,N,R,8,structure,560,Hydrogen bonds deduced from experimental data,_Deduced_H_bond_list.Text_data,,X,,,,N,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,DeducedHBondList,TextData,N,N,,,,,,,,,N,6680,,,,,,0,?,Text data,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_list,Text_data,?,?,?,?,N,N,code
22720,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Software_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,Software ID,CHAR(12),NOT NULL,,DeducedHBondSoftwareApps,SoftwareID,N,N,,Y,,Software,ID,,,,Y,10,,,,,,7,?,Software ID,Pointer to '_Software.ID',?,?,Y,Y,N,N,N,N,_Software.ID,?,_Software.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_software_apps,Software_ID,Y,?,?,?,Y,N,line
22730,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Software_label,,X,,,,Y,N,H,H,H,H,N,,software,_Software.Sf_framecode,,,Software label,VARCHAR(127),NOT NULL,,DeducedHBondSoftwareApps,SoftwareLabel,N,N,,,,,,,,,Y,20,,11,,,,0,?,Software label,Pointer to a saveframe of the category 'software',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Deduced_H_bond_software_apps,Software_label,?,?,?,?,Y,N,name
22740,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Method_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),,,DeducedHBondSoftwareApps,MethodID,N,N,,,,Method,ID,,,,Y,30,,,,,,7,?,Method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_software_apps,Method_ID,?,?,?,?,Y,N,int
22750,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Method_label,,X,,,,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,DeducedHBondSoftwareApps,MethodLabel,N,N,,,,,,,,,Y,40,,12,,,,0,?,Method label,Pointer to a saveframe of the category 'method',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Deduced_H_bond_software_apps,Method_label,?,?,?,?,Y,N,code
22760,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,DeducedHBondSoftwareApps,SfID,N,Y,,Y,,Deduced_H_bond_list,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_Deduced_H_bond_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Deduced_H_bond_list.Sf_ID,?,_Deduced_H_bond_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Deduced_H_bond_software_apps,Sf_ID,?,?,?,?,Y,N,code
22770,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,DeducedHBondSoftwareApps,EntryID,N,N,,,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,O,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_software_apps,Entry_ID,?,?,?,?,Y,N,code
22780,deduced_hydrogen_bonds,N,T6,8,structure,560,Software,_Deduced_H_bond_software_apps.Deduced_H_bond_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Deduced H bond list ID,CHAR(12),NOT NULL,,DeducedHBondSoftwareApps,DeducedHBondListID,N,N,,,,Deduced_H_bond_list,ID,,,,Y,70,,,,,,5,?,n/a,Pointer to '_Deduced_H_bond_list.ID',?,?,Y,Y,N,N,N,N,_Deduced_H_bond_list.ID,?,_Deduced_H_bond_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_software_apps,Deduced_H_bond_list_ID,Y,?,?,?,Y,N,code
22790,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.NMR_spec_expt_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,NMR spec expt ID,CHAR(12),,,DeducedHBondExperiment,NMRSpecExptID,N,N,,,,NMR_spec_expt,ID,,,,Y,10,,,,,,7,?,Experiment ID,Pointer to '_NMR_spec_expt.ID',?,?,Y,Y,N,N,N,N,_NMR_spec_expt.ID,?,_NMR_spec_expt.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond_experiment,NMR_spec_expt_ID,?,?,?,?,Y,N,code
22800,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.NMR_spec_expt_label,,X,,,,Y,N,H,H,H,H,N,,,,,,NMR spec expt label,VARCHAR(127),,,DeducedHBondExperiment,NMRSpecExptLabel,N,N,,,,,,,,,Y,20,,,,,,0,?,Experiment label,Pointer to a saveframe of the category 'NMR_spectrometer_expt',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Deduced_H_bond_experiment,NMR_spec_expt_label,?,?,?,?,Y,N,code
22810,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.Sample_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,DeducedHBondExperiment,SampleID,N,N,,Y,,Sample,ID,,,,Y,30,,,,,,7,?,Sample ID,Pointer to '_Sample.ID',?,?,Y,Y,N,N,N,N,_Sample.ID,?,_Sample.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_experiment,Sample_ID,Y,?,?,?,Y,N,code
22820,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.Sample_label,,X,,,,Y,Y,H,H,H,H,N,,sample,_Sample.Sf_framecode,,,Sample label,VARCHAR(127),NOT NULL,,DeducedHBondExperiment,SampleLabel,N,N,,,,,,,,,Y,40,,8,,,,0,?,Sample label,Pointer to a saveframe of the category 'sample',?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,Deduced_H_bond_experiment,Sample_label,?,?,?,?,Y,N,int
22830,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.Sample_state,,MC,Y,,,Y,Y,H,H,H,H,N,,,,,,Sample state,VARCHAR(31),,,DeducedHBondExperiment,SampleState,N,N,,Y,,,,,,,Y,50,,,,,,0,?,Sample state,Physical state of the sample either anisotropic or isotropic.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,R,R,R,R,R,R,R,R,R,isotropic,1,Deduced_H_bond_experiment,Sample_state,Y,?,?,?,Y,N,code
22840,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,DeducedHBondExperiment,SfID,N,Y,,Y,,Deduced_H_bond_list,Sf_ID,,,,Y,60,,,,,,4,?,n/a,Pointer to '_Deduced_H_bond_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Deduced_H_bond_list.Sf_ID,?,_Deduced_H_bond_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Deduced_H_bond_experiment,Sf_ID,?,?,?,?,Y,N,code
22850,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,DeducedHBondExperiment,EntryID,N,N,,,,Entry,ID,,,,Y,70,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_experiment,Entry_ID,?,?,?,?,Y,N,code
22860,deduced_hydrogen_bonds,N,T6,8,structure,560,NMR experiments and samples,_Deduced_H_bond_experiment.Deduced_H_bond_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Deduced H bond list ID,CHAR(12),NOT NULL,,DeducedHBondExperiment,DeducedHBondListID,N,N,,,,Deduced_H_bond_list,ID,,,,Y,80,,,,,,5,?,n/a,Pointer to '_Deduced_H_bond_list.ID',?,?,Y,Y,N,N,N,N,_Deduced_H_bond_list.ID,?,_Deduced_H_bond_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond_experiment,Deduced_H_bond_list_ID,Y,?,?,?,Y,N,code
22870,deduced_hydrogen_bonds,N,T6,8,structure,560,Deduced H bond,_Deduced_H_bond.ID,,X,,,,N,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,DeducedHBond,DeducedHBondID,Y,N,,Y,,,,,,,Y,10,,,,,,6,?,n/a,Unique identifier for the hydrogen bond deduced from experimental data.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond,ID,Y,?,?,?,N,N,code
22880,deduced_hydrogen_bonds,N,T6,8,structure,560,Deduced H bond,_Deduced_H_bond.Donor_atom_designator,,X,,,,N,H,H,H,H,H,N,,,,,,Donor atom designator,VARCHAR(31),NOT NULL,,DeducedHBond,DonorAtomDesignator,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond,Donor_atom_designator,?,Y,?,?,N,N,code
22890,deduced_hydrogen_bonds,N,T6,8,structure,560,Deduced H bond,_Deduced_H_bond.Heavy_atom_entry_atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Heavy atom entry atom ID 1,CHAR(12),,,DeducedHBond,HeavyAtomEntryAtomID1,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,?,?,_Chem_comp_atom.Atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Deduced_H_bond,Heavy_atom_entry_atom_ID_1,?,?,?,?,N,N,code
22900,deduced_hydrogen_bonds,N,T6,8,structure,560,Deduced H bond,_Deduced_H_bond.Heavy_atom_entity_assembly_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Heavy atom entity assembly ID 1,CHAR(12),NOT NULL,,DeducedHBond,HeavyAtomEntityAssemblyID1,N,N,,,,Entity_assembly,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_assembly.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond,Heavy_atom_entity_assembly_ID_1,?,?,?,?,N,N,int
22910,deduced_hydrogen_bonds,N,T6,8,structure,560,Deduced H bond,_Deduced_H_bond.Heavy_atom_entity_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Heavy atom entity ID 1,CHAR(12),NOT NULL,,DeducedHBond,HeavyAtomEntityID1,N,N,,,,Entity,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond,Heavy_atom_entity_ID_1,?,?,?,?,N,N,code
22920,deduced_hydrogen_bonds,N,T6,8,structure,560,Deduced H bond,_Deduced_H_bond.Heavy_atom_comp_index_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Heavy atom comp index ID 1,CHAR(12),NOT NULL,,DeducedHBond,HeavyAtomCompIndexID1,N,N,,,,Entity_comp_index,ID,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Deduced_H_bond,Heavy_atom_comp_index_ID_1,?,?,?,?,N,N,code
