Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,BMRB/CCPN status,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Loopflag,Seq,Dbspace,Example,Prompt,Description
29440,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Atom_2_molecule_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 molecule code,VARCHAR(15),,,DisulfideBond,Atom2MoleculeCode,N,N,,,,,,,Y,140,1,?,?,?
29450,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Atom_2_chem_comp_index_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 chem comp index ID,INTEGER,,,DisulfideBond,Atom2ChemCompIndexID,N,N,,,1,MolSeq,ChemCompIndexID,,Y,150,1,?,?,?
29460,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Atom_2_chem_comp_seq_num,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 chem comp seq num,INTEGER,,,DisulfideBond,Atom2ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,160,1,?,?,?
29470,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Atom_2_chem_comp_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 chem comp ID,CHAR(12),NOT NULL,,DisulfideBond,Atom2ChemCompID,N,N,,,1,ChemComp,ChemCompID,,Y,170,1,?,?,?
29480,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Atom_2_atom_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom ID,CHAR(12),NOT NULL,,DisulfideBond,Atom2AtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,180,1,?,?,?
29490,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Atom_2_atom_type,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom type,VARCHAR(15),,,DisulfideBond,Atom2AtomType,N,N,,,,,,,Y,190,1,?,?,?
29500,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Disulfide_bond_conformation,,,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Disulfide bond conformation,VARCHAR(31),,,DisulfideBond,DisulfideBondConformation,N,N,,,,,,,Y,200,1,?,?,?
29510,disulfide_bonds,N,T6,8,structure,680, Disulfide bond,_Disulfide_bond.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,DisulfideBond,Details,N,N,,,,,,,Y,210,1,?,?,?
29520,disulfide_bonds,N,T6,8,structure,680, Observed conformer,_Observed_conformer.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ObservedConformer,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
29530,disulfide_bonds,N,T6,8,structure,680, Observed conformer,_Observed_conformer.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,ObservedConformer,SfID,N,Y,,Y,1,DisulfideBonds,SfID,,Y,20,1,?,?,?
29540,disulfide_bonds,N,T6,8,structure,680, Observed conformer,_Observed_conformer.Disulfide_bond_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Disulfide bond ID,INTEGER,NOT NULL,,ObservedConformer,DisulfideBondID,Y,N,,Y,,Bond,BondID,,Y,30,1,?,?,?
29550,disulfide_bonds,N,T6,8,structure,680, Observed conformer,_Observed_conformer.Observed_conformer_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Observed conformer ID,INTEGER,NOT NULL,,ObservedConformer,ObservedConformerID,N,N,,Y,,,,,Y,40,1,?,?,?
29560,cis_peptide_bonds,N,R,8,structure,690, Cis peptide bonds,_Cis_peptide_bonds.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,CisPeptideBonds,SfCategory,N,N,,Y,,,,,N,8130,1,?,?,?
29570,cis_peptide_bonds,N,R,8,structure,690, Cis peptide bonds,_Cis_peptide_bonds.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,CisPeptideBonds,SfFramecode,N,N,,,,,,,N,8140,1,?,?,?
29580,cis_peptide_bonds,N,R,8,structure,690, Cis peptide bonds,_Cis_peptide_bonds.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,CisPeptideBonds,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,8150,1,?,?,?
29590,cis_peptide_bonds,N,R,8,structure,690, Cis peptide bonds,_Cis_peptide_bonds.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,CisPeptideBonds,SfID,N,Y,,Y,,,,,N,8160,1,?,?,?
29600,cis_peptide_bonds,N,R,8,structure,690, Cis peptide bonds,_Cis_peptide_bonds.Selection_method,,,,,open,Y,N,H,H,H,H,N,,,,,,Selection method,VARCHAR(127),,,CisPeptideBonds,SelectionMethod,N,N,,,,,,,N,8170,1,?,?,Method used to identify and define this structure element
29610,cis_peptide_bonds,N,R,8,structure,690, Cis peptide bonds,_Cis_peptide_bonds.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,CisPeptideBonds,Details,N,N,,,,,,,N,8180,1,?,?,?
29620,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,CisPeptideBond,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
29630,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,CisPeptideBond,SfID,N,Y,,Y,1,CisPeptideBonds,SfID,,Y,20,1,?,?,?
29640,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Cis_peptide_bond_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Cis peptide bond ID,INTEGER,NOT NULL,,CisPeptideBond,CisPeptideBondID,Y,N,,Y,,Bond,BondID,,Y,30,1,?,?,?
29650,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_atom_global_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 atom global ID,INTEGER,,,CisPeptideBond,Atom1AtomGlobalID,N,N,,,,,,,Y,40,1,?,?,?
29660,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_molecule_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 1 molecule ID,CHAR(12),NOT NULL,,CisPeptideBond,Atom1MoleculeID,N,N,,,1,Entity,MoleculeID,,Y,50,1,?,?,?
29670,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_molecule_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 1 molecule code,VARCHAR(15),,,CisPeptideBond,Atom1MoleculeCode,N,N,,,,,,,Y,60,1,?,?,?
29680,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_chem_comp_index_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 chem comp index ID,INTEGER,,,CisPeptideBond,Atom1ChemCompIndexID,N,N,,,1,MolSeq,ChemCompIndexID,,Y,70,1,?,?,?
29690,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_chem_comp_seq_num,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 1 chem comp seq num,INTEGER,,,CisPeptideBond,Atom1ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,80,1,?,?,?
29700,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_chem_comp_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 chem comp ID,CHAR(12),NOT NULL,,CisPeptideBond,Atom1ChemCompID,N,N,,,1,ChemComp,ChemCompID,,Y,90,1,?,?,?
29710,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_atom_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 atom ID,CHAR(12),NOT NULL,,CisPeptideBond,Atom1AtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,100,1,?,?,?
29720,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_1_atom_type,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 atom type,VARCHAR(15),,,CisPeptideBond,Atom1AtomType,N,N,,,,,,,Y,110,1,?,?,?
29730,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_atom_global_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom global ID,INTEGER,,,CisPeptideBond,Atom2AtomGlobalID,N,N,,,,,,,Y,120,1,?,?,?
29740,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_molecule_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 molecule ID,CHAR(12),NOT NULL,,CisPeptideBond,Atom2MoleculeID,N,N,,,1,Entity,MoleculeID,,Y,130,1,?,?,?
29750,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_molecule_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 molecule code,VARCHAR(15),,,CisPeptideBond,Atom2MoleculeCode,N,N,,,,,,,Y,140,1,?,?,?
29760,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_chem_comp_index_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 chem comp index ID,INTEGER,,,CisPeptideBond,Atom2ChemCompIndexID,N,N,,,1,MolSeq,ChemCompIndexID,,Y,150,1,?,?,?
29770,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_chem_comp_seq_num,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 chem comp seq num,INTEGER,,,CisPeptideBond,Atom2ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,160,1,?,?,?
29780,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_chem_comp_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 chem comp ID,CHAR(12),NOT NULL,,CisPeptideBond,Atom2ChemCompID,N,N,,,1,ChemComp,ChemCompID,,Y,170,1,?,?,?
29790,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_atom_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom ID,CHAR(12),NOT NULL,,CisPeptideBond,Atom2AtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,180,1,?,?,?
29800,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Atom_2_atom_type,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom type,VARCHAR(15),,,CisPeptideBond,Atom2AtomType,N,N,,,,,,,Y,190,1,?,?,?
29810,cis_peptide_bonds,N,T6,8,structure,690, Cis peptide bond,_Cis_peptide_bond.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,CisPeptideBond,Details,N,N,,,,,,,Y,200,1,?,?,?
29820,cis_peptide_bonds,N,T6,8,structure,690, Observed conformer,_Observed_conformer.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ObservedConformer,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
29830,cis_peptide_bonds,N,T6,8,structure,690, Observed conformer,_Observed_conformer.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,,,ObservedConformer,SfID,N,Y,,Y,1,CisPeptideBonds,SfID,,Y,20,1,?,?,?
29840,cis_peptide_bonds,N,T6,8,structure,690, Observed conformer,_Observed_conformer.Cis_peptide_bond_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Cis peptide bond ID,INTEGER,NOT NULL,,ObservedConformer,CisPeptideBondID,Y,N,,Y,,Bond,BondID,,Y,30,1,?,?,?
29850,cis_peptide_bonds,N,T6,8,structure,690, Observed conformer,_Observed_conformer.Observed_conformer_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Observed conformer ID,INTEGER,,,ObservedConformer,ObservedConformerID,N,N,,,,,,,Y,40,1,?,?,?
29860,other_bonds,N,R,8,structure,700, Other bonds,_Other_bonds.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,OtherBonds,SfCategory,N,N,,Y,,,,,N,8190,1,?,?,?
29870,other_bonds,N,R,8,structure,700, Other bonds,_Other_bonds.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,OtherBonds,SfFramecode,N,N,,,,,,,N,8200,1,?,?,?
29880,other_bonds,N,R,8,structure,700, Other bonds,_Other_bonds.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherBonds,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,8210,1,?,?,?
29890,other_bonds,N,R,8,structure,700, Other bonds,_Other_bonds.Sf_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,OtherBonds,SfID,N,Y,,Y,,,,,N,8220,1,?,?,?
29900,other_bonds,N,R,8,structure,700, Other bonds,_Other_bonds.Selection_method,,,,,open,Y,N,H,H,H,H,N,,,,,,Selection method,VARCHAR(127),,,OtherBonds,SelectionMethod,N,N,,,,,,,N,8230,1,?,?,Method used to identify and define this structure element
29910,other_bonds,N,R,8,structure,700, Other bonds,_Other_bonds.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,OtherBonds,Details,N,N,,,,,,,N,8240,1,?,?,?
29920,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherBond,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
29930,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,OtherBond,SfID,N,Y,,Y,1,OtherBonds,SfID,,Y,20,1,?,?,?
29940,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Other_bond_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Other bond ID,INTEGER,NOT NULL,,OtherBond,OtherBondID,N,N,,,,Bond,BondID,,Y,30,1,?,?,?
29950,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Other_bond_type,,,,,open,Y,N,H,H,H,H,Y,,,,,,Other bond type,VARCHAR(31),,,OtherBond,OtherBondType,N,N,,,,,,,Y,40,1,?,?,?
29960,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_atom_global_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 atom global ID,INTEGER,,,OtherBond,Atom1AtomGlobalID,N,N,,,,,,,Y,50,1,?,?,?
29970,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_molecule_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 1 molecule ID,CHAR(12),NOT NULL,,OtherBond,Atom1MoleculeID,N,N,,,1,Entity,MoleculeID,,Y,60,1,?,?,?
29980,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_molecule_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 1 molecule code,VARCHAR(15),,,OtherBond,Atom1MoleculeCode,N,N,,,,,,,Y,70,1,?,?,?
29990,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_chem_comp_index_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 chem comp index ID,INTEGER,,,OtherBond,Atom1ChemCompIndexID,N,N,,,1,MolSeq,ChemCompIndexID,,Y,80,1,?,?,?
30000,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_chem_comp_seq_num,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 1 chem comp seq num,INTEGER,,,OtherBond,Atom1ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,90,1,?,?,?
30010,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_chem_comp_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 chem comp ID,CHAR(12),NOT NULL,,OtherBond,Atom1ChemCompID,N,N,,,1,ChemComp,ChemCompID,,Y,100,1,?,?,?
30020,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_atom_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 atom ID,CHAR(12),NOT NULL,,OtherBond,Atom1AtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,110,1,?,?,?
30030,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_1_atom_type,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 1 atom type,VARCHAR(15),,,OtherBond,Atom1AtomType,N,N,,,,,,,Y,120,1,?,?,?
30040,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_atom_global_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom global ID,INTEGER,,,OtherBond,Atom2AtomGlobalID,N,N,,,,,,,Y,130,1,?,?,?
30050,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_molecule_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 molecule ID,CHAR(12),NOT NULL,,OtherBond,Atom2MoleculeID,N,N,,,1,Entity,MoleculeID,,Y,140,1,?,?,?
30060,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_molecule_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 molecule code,VARCHAR(15),,,OtherBond,Atom2MoleculeCode,N,N,,,,,,,Y,150,1,?,?,?
30070,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_chem_comp_index_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 chem comp index ID,INTEGER,,,OtherBond,Atom2ChemCompIndexID,N,N,,,1,MolSeq,ChemCompIndexID,,Y,160,1,?,?,?
30080,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_chem_comp_seq_num,,,,,open,Y,N,H,H,H,H,N,,,,,,Atom 2 chem comp seq num,INTEGER,,,OtherBond,Atom2ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,170,1,?,?,?
30090,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_chem_comp_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 chem comp ID,CHAR(12),NOT NULL,,OtherBond,Atom2ChemCompID,N,N,,,1,ChemComp,ChemCompID,,Y,180,1,?,?,?
30100,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_atom_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom ID,CHAR(12),NOT NULL,,OtherBond,Atom2AtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,190,1,?,?,?
30110,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Atom_2_atom_type,,,,,open,Y,H,H,H,H,H,N,,,,,,Atom 2 atom type,VARCHAR(15),,,OtherBond,Atom2AtomType,N,N,,,,,,,Y,200,1,?,?,?
30120,other_bonds,N,T6,8,structure,700, Other bond,_Other_bond.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,OtherBond,Details,N,N,,,,,,,Y,210,1,?,?,?
30130,other_bonds,N,T6,8,structure,700, Observed conformer,_Observed_conformer.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ObservedConformer,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
30140,other_bonds,N,T6,8,structure,700, Observed conformer,_Observed_conformer.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,,,ObservedConformer,SfID,N,Y,,Y,1,OtherBonds,SfID,,Y,20,1,?,?,?
30150,other_bonds,N,T6,8,structure,700, Observed conformer,_Observed_conformer.Bond_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Bond ID,INTEGER,NOT NULL,,ObservedConformer,BondID,Y,N,,Y,,Bond,BondID,,Y,30,1,?,?,?
30160,other_bonds,N,T6,8,structure,700, Observed conformer,_Observed_conformer.Observed_conformer_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Observed conformer ID,INTEGER,,,ObservedConformer,ObservedConformerID,N,N,,,,,,,Y,40,1,?,?,?
30170,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,OtherStructFeatures,SfCategory,N,N,,Y,,,,,N,8250,1,?,?,?
30180,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,OtherStructFeatures,SfFramecode,N,N,,,,,,,N,8260,1,?,?,?
30190,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherStructFeatures,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,8270,1,?,?,?
30200,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,OtherStructFeatures,SfID,N,Y,,Y,,,,,N,8280,1,?,?,?
30210,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Struct_feature_name,,,,,open,Y,N,H,H,H,H,N,,,,,,Struct feature name,VARCHAR(127),,,OtherStructFeatures,StructFeatureName,N,N,,,,,,,N,8290,1,?,?,?
30220,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Struct_feature_definition,,,,,open,Y,N,H,H,H,H,N,,,,,,Struct feature definition,VARCHAR(127),,,OtherStructFeatures,StructFeatureDefinition,N,N,,,,,,,N,8300,1,?,?,?
30230,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,OtherStructFeatures,Details,N,N,,,,,,,N,8310,1,?,?,?
30240,other_struct_features,N,R,8,structure,710, Other struct features,_Other_struct_features.Selection_method,,,,,open,Y,N,H,H,H,H,N,,,,,,Selection method,VARCHAR(127),,,OtherStructFeatures,SelectionMethod,N,N,,,,,,,N,8320,1,?,?,Method used to identify and define this structure element
30250,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherStructFeature,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
30260,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,OtherStructFeature,SfID,N,Y,,Y,1,OtherStructFeatures,SfID,,Y,20,1,?,?,?
30270,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Other_struct_feature_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Other struct feature ID,INTEGER,,,OtherStructFeature,OtherStructFeatureID,N,N,,,,,,,Y,30,1,?,?,?
30280,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Molecule_ID,,,,,open,Y,N,H,H,H,H,N,,,,,,Molecule ID,CHAR(12),NOT NULL,,OtherStructFeature,MoleculeID,N,N,,,1,Entity,MoleculeID,,Y,40,1,?,?,?
30290,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Molecule_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Molecule code,VARCHAR(15),,,OtherStructFeature,MoleculeCode,N,N,,,,,,,Y,50,1,?,?,?
30300,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Chem_comp_seq_num,,,,,open,Y,N,H,H,H,H,N,,,,,,Chem comp seq num,INTEGER,,,OtherStructFeature,ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,60,1,?,?,?
30310,other_struct_features,N,T6,8,structure,710, Other struct feature,_Other_struct_feature.Other_struct_feature_code,,,,,open,Y,N,H,H,H,H,N,,,,,,Other struct feature code,VARCHAR(31),,,OtherStructFeature,OtherStructFeatureCode,N,N,,,,,,,Y,70,1,?,?,?
30320,floating_chiral_stereo_assign,N,R,8,structure,740, Floating chiral stereo assign,_Floating_chiral_stereo_assign.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,FloatingChiralStereoAssign,SfCategory,N,N,,Y,,,,,N,8330,1,?,?,?
30330,floating_chiral_stereo_assign,N,R,8,structure,740, Floating chiral stereo assign,_Floating_chiral_stereo_assign.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,FloatingChiralStereoAssign,SfFramecode,N,N,,,,,,,N,8340,1,?,?,?
30340,floating_chiral_stereo_assign,N,R,8,structure,740, Floating chiral stereo assign,_Floating_chiral_stereo_assign.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,FloatingChiralStereoAssign,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,8350,1,?,?,?
30350,floating_chiral_stereo_assign,N,R,8,structure,740, Floating chiral stereo assign,_Floating_chiral_stereo_assign.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,FloatingChiralStereoAssign,SfID,N,Y,,Y,,,,,N,8360,1,?,?,?
30360,floating_chiral_stereo_assign,N,R,8,structure,740, Floating chiral stereo assign,_Floating_chiral_stereo_assign.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,FloatingChiralStereoAssign,Details,N,N,,,,,,,N,8370,1,?,?,?
30370,floating_chiral_stereo_assign,N,R,8,structure,740, Floating chiral stereo assign,_Floating_chiral_stereo_assign.Stereo_count,,,,,open,Y,N,H,H,H,H,N,,,,,,Stereo count,INTEGER,,,FloatingChiralStereoAssign,StereoCount,N,N,,,,,,,N,8380,1,?,?,?
