Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,DbSpace,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,sg/public,sg/internal,usr/public,usr/internal,Overide publiM,Overide internal,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,Overide usr/internal,default value,Adit form code,Tag category,Tag field,Local key
27360,floating_chiral_stereo_assign,N,R,8,structure,740,Floating chiral stereo assign,_Floating_chiral_stereo_assign.Stereo_count,,X,Y,,,Y,H,H,H,H,H,N,,,,,,Stereo count,INTEGER,NOT NULL,,FloatingChiralStereoAssign,StereoCount,N,N,,,,,,,,,N,7690,,,,,,0,?,Stereo count,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chiral_stereo_assign,Stereo_count,?
27370,floating_chiral_stereo_assign,N,R,8,structure,740,Floating chiral stereo assign,_Floating_chiral_stereo_assign.Stereo_assigned_count,,X,Y,,,Y,H,H,H,H,H,N,,,,,,Stereo assigned count,INTEGER,NOT NULL,,FloatingChiralStereoAssign,StereoAssignedCount,N,N,,,,,,,,,N,7700,,,,,,0,?,Stereo assigned count,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chiral_stereo_assign,Stereo_assigned_count,?
27380,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Sf_ID,,X,Y,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,FloatingChirality,SfID,N,Y,,Y,,Floating_chiral_stereo_assign,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Floating_chiral_stereo_assign.Sf_ID',?,?,Y,Y,N,N,N,N,_Floating_chiral_stereo_assign.Sf_ID,?,_Floating_chiral_stereo_assign.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Floating_chirality,Sf_ID,?
27390,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entry_ID,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,FloatingChirality,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Entry_ID,?
27400,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Floating_chiral_stereo_assign_ID,,X,Y,,,N,H,H,H,H,H,N,,,,,,Floating chiral stereo assign ID,CHAR(12),NOT NULL,,FloatingChirality,FloatingChiralStereoAssignID,N,N,,,,Floating_chiral_stereo_assign,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Floating_chiral_stereo_assign.ID',?,?,Y,Y,N,N,N,N,_Floating_chiral_stereo_assign.ID,?,_Floating_chiral_stereo_assign.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Floating_chiral_stereo_assign_ID,Y
27410,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.ID,,X,Y,,,N,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,FloatingChirality,FloatingChiralityID,N,N,,Y,,,,,,,Y,40,,,,,,1,?,n/a,Unique identifier for the reported floating chirality stereoassignment.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,ID,Y
27420,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entry_atom_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 1,CHAR(12),,,FloatingChirality,EntryAtomID1,N,N,,,,Atom,Entry_atom_ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Floating_chirality,Entry_atom_ID_1,?
27430,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entity_assembly_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 1,CHAR(12),NOT NULL,,FloatingChirality,EntityAssemblyID1,N,N,,,,Entity_assembly,ID,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Entity_assembly_ID_1,?
27440,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entity_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entity ID 1,CHAR(12),NOT NULL,,FloatingChirality,EntityID1,N,N,,,,Entity,ID,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Entity_ID_1,?
27450,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Comp_index_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Comp index ID 1,CHAR(12),NOT NULL,,FloatingChirality,CompIndexID1,N,N,,,,Entity_comp_index,ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Comp_index_ID_1,?
27460,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Seq_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Seq ID 1,INTEGER,NOT NULL,,FloatingChirality,SeqID1,N,N,,,,Entity_poly_seq,Num,,,,Y,90,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Seq_ID_1,?
27470,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Comp_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Comp ID 1,CHAR(12),NOT NULL,,FloatingChirality,CompID1,N,N,,,,Chem_comp,ID,,,,Y,100,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Comp_ID_1,?
27480,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Atom_ID_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Atom ID 1,CHAR(12),NOT NULL,,FloatingChirality,AtomID1,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,110,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Atom_ID_1,?
27490,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Atom_type_1,,X,Y,,,N,H,H,H,H,H,N,,,,,,Atom type 1,VARCHAR(15),NOT NULL,,FloatingChirality,AtomType1,N,N,,,,,,,,,Y,120,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Atom_type_1,?
27500,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entry_atom_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 2,CHAR(12),,,FloatingChirality,EntryAtomID2,N,N,,,,Atom,Entry_atom_ID,,,,Y,130,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Floating_chirality,Entry_atom_ID_2,?
27510,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entity_assembly_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 2,CHAR(12),NOT NULL,,FloatingChirality,EntityAssemblyID2,N,N,,,,Entity_assembly,ID,,,,Y,140,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Entity_assembly_ID_2,?
27520,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Entity_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Entity ID 2,CHAR(12),NOT NULL,,FloatingChirality,EntityID2,N,N,,,,Entity,ID,,,,Y,150,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Entity_ID_2,?
27530,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Comp_index_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Comp index ID 2,CHAR(12),NOT NULL,,FloatingChirality,CompIndexID2,N,N,,,,Entity_comp_index,ID,,,,Y,160,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Comp_index_ID_2,?
27540,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Seq_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Seq ID 2,INTEGER,NOT NULL,,FloatingChirality,SeqID2,N,N,,,,Entity_poly_seq,Num,,,,Y,170,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Seq_ID_2,?
27550,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Comp_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Comp ID 2,CHAR(12),NOT NULL,,FloatingChirality,CompID2,N,N,,,,Chem_comp,ID,,,,Y,180,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Comp_ID_2,?
27560,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Atom_ID_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Atom ID 2,CHAR(12),NOT NULL,,FloatingChirality,AtomID2,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,190,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Atom_ID_2,?
27570,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Atom_type_2,,X,Y,,,N,H,H,H,H,H,N,,,,,,Atom type 2,VARCHAR(15),NOT NULL,,FloatingChirality,AtomType2,N,N,,,,,,,,,Y,200,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Atom_type_2,?
27580,floating_chiral_stereo_assign,N,T6,8,structure,740,Floating chirality,_Floating_chirality.Stereospecific_assignment_code,,X,Y,,,N,H,H,H,H,H,N,,,,,,Stereospecific assignment code,VARCHAR(127),NOT NULL,,FloatingChirality,StereospecificAssignmentCode,N,N,,,,,,,,,Y,210,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Floating_chirality,Stereospecific_assignment_code,?
27590,torsion_angle_constraints,N,R,8,structure,760,Torsion angle constraint list,_Torsion_angle_constraint_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,TorsionAngleConstraintList,SfCategory,N,N,,,,,,,,,N,7710,,,,,,1,?,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraint_list,Sf_category,?
27600,torsion_angle_constraints,N,R,8,structure,760,Torsion angle constraint list,_Torsion_angle_constraint_list.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,TorsionAngleConstraintList,SfFramecode,N,N,,,,,,,,,N,7720,,,,,,1,?,Torsion angle constraints label,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Torsion_angle_constraint_list,Sf_framecode,?
27610,torsion_angle_constraints,N,R,8,structure,760,Torsion angle constraint list,_Torsion_angle_constraint_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,TorsionAngleConstraintList,EntryID,N,N,,,,Entry,ID,,,,N,7730,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraint_list,Entry_ID,Y
27620,torsion_angle_constraints,N,R,8,structure,760,Torsion angle constraint list,_Torsion_angle_constraint_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,TorsionAngleConstraintList,SfID,N,Y,Y,Y,,,,,,,N,7740,,,,,,1,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Torsion_angle_constraint_list,Sf_ID,?
27630,torsion_angle_constraints,N,R,8,structure,760,Torsion angle constraint list,_Torsion_angle_constraint_list.ID,,SC,Y,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,TorsionAngleConstraintList,TorsionAngleConstraintListID,N,N,Y,,,,,,,,N,7750,,,,,,1,?,n/a,Unique identifier for the list of torsion angle constraints.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraint_list,ID,Y
27640,torsion_angle_constraints,N,R,8,structure,760,Torsion angle constraint list,_Torsion_angle_constraint_list.Details,,O,,,,Y,H,H,H,H,H,N,,,,,,Details,TEXT,,,TorsionAngleConstraintList,Details,N,N,,,,,,,,,N,7760,,,,,,0,?,Details,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Torsion_angle_constraint_list,Details,?
27650,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,TorsionAngleConstraintsExpt,SfID,N,Y,,Y,,Torsion_angle_constraint_list,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Torsion_angle_constraint_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Torsion_angle_constraint_list.Sf_ID,?,_Torsion_angle_constraint_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Torsion_angle_constraints_expt,Sf_ID,?
27660,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,TorsionAngleConstraintsExpt,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraints_expt,Entry_ID,?
27670,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Torsion_angle_constraint_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Torsion angle constraint list ID,CHAR(12),NOT NULL,,TorsionAngleConstraintsExpt,TorsionAngleConstraintListID,N,N,,,,Torsion_angle_constraint_list,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Torsion_angle_constraint_list.ID',?,?,Y,Y,N,N,N,N,_Torsion_angle_constraint_list.ID,?,_Torsion_angle_constraint_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraints_expt,Torsion_angle_constraint_list_ID,Y
27680,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.NMR_spec_expt_ID,,SC,Y,,,Y,H,H,H,H,H,N,,,,,,NMR spec expt ID,CHAR(12),,,TorsionAngleConstraintsExpt,NMRSpecExptID,N,N,,,,NMR_spec_expt,ID,,,,Y,40,,,,,,1,?,Experiment ID,Pointer to '_NMR_spec_expt.ID',?,?,Y,Y,N,N,N,N,_NMR_spec_expt.ID,?,_NMR_spec_expt.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Torsion_angle_constraints_expt,NMR_spec_expt_ID,?
27690,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.NMR_spec_expt_label,,X,,,,Y,H,H,H,H,H,N,,,,,,NMR spec expt label,VARCHAR(127),,,TorsionAngleConstraintsExpt,NMRSpecExptLabel,N,N,,,,,,,,,Y,50,,10,,,,0,?,Experiment label,NOESY at 298K,?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Torsion_angle_constraints_expt,NMR_spec_expt_label,?
27700,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Method_ID,,SC,Y,,,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),,,TorsionAngleConstraintsExpt,MethodID,N,N,,,,Method,ID,,,,Y,60,,,,,,1,?,Methods ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Torsion_angle_constraints_expt,Method_ID,?
27710,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Method_label,,X,,,,Y,H,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,TorsionAngleConstraintsExpt,MethodLabel,N,N,,,,,,,,,Y,70,,,,,,0,?,Method label,Pointer to a saveframe of the category 'method',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Torsion_angle_constraints_expt,Method_label,?
27720,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Sample_ID,,MC,Y,,,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,TorsionAngleConstraintsExpt,SampleID,N,N,,Y,,Sample,ID,,,,Y,80,,,,,,1,?,Sample ID,Pointer to '_Sample.ID',?,?,Y,Y,N,N,N,N,_Sample.ID,?,_Sample.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraints_expt,Sample_ID,Y
27730,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Sample_label,,X,,,,Y,H,H,H,H,H,N,,,,,,Sample label,VARCHAR(127),NOT NULL,,TorsionAngleConstraintsExpt,SampleLabel,N,N,,,,,,,,,Y,90,,8,,,,0,?,Sample label,Sample(s) used in deriving the data,?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraints_expt,Sample_label,?
27740,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraints expt,_Torsion_angle_constraints_expt.Sample_state,,X,,,,Y,H,H,H,H,H,N,,,,,,Sample state,VARCHAR(31),NOT NULL,,TorsionAngleConstraintsExpt,SampleState,N,N,,Y,,,,,,,Y,100,,,,,,0,?,n/a,Physical state of the sample either anisotropic or isotropic.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,isotropic,0,Torsion_angle_constraints_expt,Sample_state,Y
27750,torsion_angle_constraints,N,T6,8,structure,760,Karplus equation,_Karplus_equation.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,KarplusEquation,SfID,N,Y,,Y,,Torsion_angle_constraint_list,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Torsion_angle_constraint_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Torsion_angle_constraint_list.Sf_ID,?,_Torsion_angle_constraint_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Karplus_equation,Sf_ID,?
27760,torsion_angle_constraints,N,T6,8,structure,760,Karplus equation,_Karplus_equation.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,KarplusEquation,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Karplus_equation,Entry_ID,?
27770,torsion_angle_constraints,N,T6,8,structure,760,Karplus equation,_Karplus_equation.Torsion_angle_constraint_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Torsion angle constraint list ID,CHAR(12),NOT NULL,,KarplusEquation,TorsionAngleConstraintListID,N,N,,,,Torsion_angle_constraint_list,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Torsion_angle_constraint_list.ID',?,?,Y,Y,N,N,N,N,_Torsion_angle_constraint_list.ID,?,_Torsion_angle_constraint_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Karplus_equation,Torsion_angle_constraint_list_ID,Y
27780,torsion_angle_constraints,N,T6,8,structure,760,Karplus equation,_Karplus_equation.Torsion_angle_code,,SC,Y,,,Y,H,H,H,H,H,N,,,,,,Torsion angle code,VARCHAR(31),,,KarplusEquation,TorsionAngleCode,N,N,,Y,,,,,,,Y,40,,,,,,0,?,Torsion angle code,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Karplus_equation,Torsion_angle_code,Y
27790,torsion_angle_constraints,N,T6,8,structure,760,Karplus equation,_Karplus_equation.Citation_ID,,SC,Y,,,Y,H,H,H,H,H,N,,,,,,Citation ID,CHAR(12),,,KarplusEquation,CitationID,N,N,,Y,,Citation,ID,,,,Y,50,,,,,,1,?,Citation ID,Pointer to '_Citation.ID',?,?,Y,Y,N,N,N,N,_Citation.ID,?,_Citation.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Karplus_equation,Citation_ID,?
27800,torsion_angle_constraints,N,T6,8,structure,760,Karplus equation,_Karplus_equation.Citation_label,,X,,,,Y,H,H,H,H,H,N,,,,,,Citation label,VARCHAR(127),,,KarplusEquation,CitationLabel,N,N,,,,,,,,,Y,60,,,,,,0,?,Citation label,Pointer to a saveframe of the category 'citation',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Karplus_equation,Citation_label,?
27810,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraint,_Torsion_angle_constraint.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,TorsionAngleConstraint,SfID,N,Y,,Y,,Torsion_angle_constraint_list,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Torsion_angle_constraint_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Torsion_angle_constraint_list.Sf_ID,?,_Torsion_angle_constraint_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Torsion_angle_constraint,Sf_ID,?
27820,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraint,_Torsion_angle_constraint.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,TorsionAngleConstraint,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraint,Entry_ID,?
27830,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraint,_Torsion_angle_constraint.Torsion_angle_constraint_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Torsion angle constraint list ID,CHAR(12),NOT NULL,,TorsionAngleConstraint,TorsionAngleConstraintListID,N,N,,,,Torsion_angle_constraint_list,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Torsion_angle_constraint_list.ID',?,?,Y,Y,N,N,N,N,_Torsion_angle_constraint_list.ID,?,_Torsion_angle_constraint_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraint,Torsion_angle_constraint_list_ID,Y
27840,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraint,_Torsion_angle_constraint.ID,,X,,,,N,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,TorsionAngleConstraint,TorsionAngleConstraintID,Y,N,,Y,,,,,,,Y,40,,,,,,1,?,n/a,Unique identifier for the reported torsion angle constraint.,?,?,Y,Y,N,N,N,N,_Dist_constraint_tree.Constraint_ID,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Torsion_angle_constraint,ID,Y
27850,torsion_angle_constraints,N,T6,8,structure,760,Torsion angle constraint,_Torsion_angle_constraint.Entry_atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 1,CHAR(12),,,TorsionAngleConstraint,EntryAtomID1,N,N,,,,Atom,Entry_atom_ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Torsion_angle_constraint,Entry_atom_ID_1,?
